Instrumentalist,Composer,Music effects,Hours per day,Anxiety,Depression,Insomnia,OCD
No,No,No effect,4.0,7.0,7.0,10.0,2.0
No,Yes,Improve,2.5,9.0,7.0,3.0,3.0
No,No,Improve,4.0,7.0,2.0,5.0,9.0
Yes,Yes,Improve,5.0,8.0,8.0,7.0,7.0
Yes,No,Improve,3.0,4.0,8.0,6.0,0.0
No,No,Improve,1.0,5.0,3.0,5.0,3.0
No,No,Improve,6.0,2.0,0.0,0.0,0.0
No,No,Improve,1.0,2.0,2.0,5.0,1.0
Yes,No,No effect,3.0,7.0,7.0,4.0,7.0
No,No,Improve,8.0,1.0,0.0,0.0,1.0
No,No,Improve,3.0,9.0,3.0,2.0,7.0
No,No,Improve,2.0,2.0,1.0,2.0,0.0
Yes,No,Improve,4.0,6.0,4.0,7.0,0.0
No,No,Worsen,2.0,7.0,5.0,4.0,1.0
No,No,Improve,8.0,8.0,8.0,4.0,3.0
No,Yes,Improve,12.0,5.0,7.0,10.0,0.0
No,No,Improve,24.0,7.0,5.0,0.0,3.0
No,No,Improve,3.0,7.0,3.0,0.0,2.0
No,No,Improve,8.0,6.0,9.0,3.0,0.0
No,No,Improve,4.0,10.0,10.0,2.0,4.0
No,No,Improve,5.0,6.0,7.0,5.0,4.0
No,No,No effect,2.0,3.0,3.0,8.0,6.0
Yes,Yes,Improve,3.0,10.0,6.0,8.0,10.0
No,No,Improve,2.0,7.0,4.0,2.0,5.0
Yes,Yes,Improve,12.0,8.0,6.0,10.0,5.0
Yes,Yes,Improve,6.0,3.0,2.0,1.0,2.0
Yes,No,Improve,2.0,6.0,6.0,4.0,5.0
No,No,Improve,1.0,8.0,2.0,1.0,5.0
Yes,No,Improve,5.0,7.0,7.0,2.0,0.0
No,No,No effect,2.0,4.0,4.0,4.0,3.0
Yes,No,Improve,6.0,9.0,8.0,2.0,3.0
No,No,Improve,4.0,5.0,6.0,6.0,1.0
No,No,No effect,1.0,0.0,0.0,0.0,0.0
Yes,No,Improve,5.0,3.0,2.0,1.0,1.0
No,No,Improve,4.0,6.0,8.0,0.0,2.0
No,No,No effect,3.0,2.0,0.0,4.0,0.0
No,No,No effect,0.5,9.0,8.0,1.0,0.0
No,No,Improve,4.0,7.0,2.0,8.0,6.0
Yes,Yes,Improve,2.0,4.0,2.0,3.0,4.0
Yes,No,Improve,5.0,7.0,6.0,5.0,0.0
No,No,No effect,0.25,3.0,2.0,10.0,0.0
No,No,Improve,3.0,6.0,6.0,8.0,2.0
No,No,No effect,4.0,1.0,0.0,8.0,2.0
Yes,Yes,Improve,1.0,7.0,3.0,1.0,5.0
Yes,Yes,No effect,1.0,8.0,9.0,3.0,0.0
No,No,Improve,3.0,9.0,6.0,4.0,3.0
